Location,ManufactureDate,ReadDate,AgeInDays,Model,MileageKM,MileagePerDay,MaxRangeKM,ReplacementBatt,MileageSinceNewKM,Battery AgeDays,WattHoursPerKM,OriginalRangeKM,SuperchargeFreq,MaxChargeFreq,RunToEmptyFreq,DailyChargeLevel,Cycles
Asia Pacific & Europe (excl UK),13-Sep-13,27-Sep-14,379,Model S P85+,28600,75.3,394,Yes,8230,109,233,400,monthly,a few times a year,once or twice a year,,24.81
Asia Pacific & Europe (excl UK),7-May-14,27-Sep-14,143,Model S 60,9161,63.6,280,No,9161,144,205,289,never,monthly,never,,32.46
Asia Pacific & Europe (excl UK),26-Nov-13,28-Sep-14,306,Model S 85,20200,65.8,384,No,20200,307,196,400,a few times a year,a few times a year,never,,52.14
Asia Pacific & Europe (excl UK),15-Nov-13,30-Sep-14,319,Model S 85,35244,110.1,391,Yes,17710,161,219,400,a few times a year,once or twice a year,never,,50.37
Asia Pacific & Europe (excl UK),14-Nov-13,1-Oct-14,321,Unspecified 85 kWh,36369,112.9,377,No,36369,322,255,400,monthly,twice a month,once or twice a year,,122.62
Asia Pacific & Europe (excl UK),6-Dec-13,4-Oct-14,302,Unspecified 85 kWh,25050,82.7,391,No,25050,303,193,400,monthly,once or twice a year,once or twice a year,,62.79
Asia Pacific & Europe (excl UK),10-Dec-13,4-Oct-14,298,Model S P85,23945,80.1,387,No,23945,299,203,400,twice a month,monthly,a few times a year,,63.45
Asia Pacific & Europe (excl UK),20-Nov-13,5-Oct-14,319,Model S 85,27000,84.4,382,No,27000,320,209,400,monthly,a few times a year,a few times a year,,74.13
Asia Pacific & Europe (excl UK),30-Sep-14,6-Oct-14,6,Model S 85,1136,162.3,399,No,1136,7,244,400,weekly,twice a month,never,90%,3.56
Asia Pacific & Europe (excl UK),4-Dec-13,6-Oct-14,306,Model S P85,21500,70,380,No,21500,307,230,400,weekly,twice a month,never,,65.13
Asia Pacific & Europe (excl UK),29-Nov-13,6-Oct-14,311,Model S 85,29700,95.2,387,Yes,19161,201,263,400,a few times a year,once or twice a year,once or twice a year,,65.78
Asia Pacific & Europe (excl UK),31-Dec-13,8-Oct-14,281,Unspecified 85 kWh,21845,77.5,394,No,21845,282,214,400,a few times a year,twice a month,never,,60.48
Asia Pacific & Europe (excl UK),23-Nov-13,8-Oct-14,319,Unspecified 85 kWh,21600,67.5,385,Yes,14896,221,218,400,monthly,monthly,never,,42.5
Asia Pacific & Europe (excl UK),26-Nov-13,9-Oct-14,317,Model S 85,33150,104.2,377,No,33150,318,229,400,a few times a year,monthly,once or twice a year,,100.38
Asia Pacific & Europe (excl UK),4-Dec-13,14-Oct-14,314,Model S P85,34000,107.9,381,No,34000,315,234,400,monthly,twice a month,once or twice a year,,104.65
Asia Pacific & Europe (excl UK),30-Sep-14,30-Oct-14,30,Model S 85,4517,145.7,394,No,4517,31,244,400,twice a week,weekly,never,90%,14.24
Asia Pacific & Europe (excl UK),22-Nov-13,1-Nov-14,344,Model S 85,39000,113,377,No,39000,345,202,400,a few times a year,a few times a year,never,,104.17
Asia Pacific & Europe (excl UK),23-Sep-13,7-Nov-14,410,Model S P85,52000,126.5,381,Yes,39097,309,220,400,twice a month,a few times a year,never,,113.14
Asia Pacific & Europe (excl UK),26-Sep-13,7-Nov-14,407,Model S 85,54000,132.4,377,No,54000,408,221,400,twice a month,twice a month,never,,157.79
Asia Pacific & Europe (excl UK),10-Sep-13,10-Nov-14,426,Model S P85,73000,171,379,No,73000,427,218,400,twice a month,daily,once or twice a year,100%,210.9
Asia Pacific & Europe (excl UK),4-Nov-13,11-Nov-14,372,Model S P85,21000,56.3,379,No,21000,373,218,400,monthly,a few times a year,never,,60.31
Asia Pacific & Europe (excl UK),11-Apr-14,13-Nov-14,216,Unspecified 85 kWh,12000,55.3,388,No,12000,217,224,400,a few times a year,a few times a year,never,,35.22
Asia Pacific & Europe (excl UK),16-Aug-14,14-Nov-14,90,Model S P85,8000,87.9,388,No,8000,91,229,400,twice a month,weekly,monthly,,23.85
Asia Pacific & Europe (excl UK),18-Nov-13,16-Nov-14,363,Model S 85,42000,115.4,380,No,42000,364,223,400,monthly,twice a month,monthly,,123.97
Asia Pacific & Europe (excl UK),30-Sep-14,22-Nov-14,53,Model S 85,7024,130.1,393,No,7024,54,251,400,weekly,twice a month,never,90%,22.81
